CLOTHING

A B C D E F G H I J K L M N O P Q R S T U V W X Y Z

Item 	Cost 	Description
Aba 	7 sp 	Traditional Desert Robe
Anklet 	10 gp 	Silver Ankle Bracelet
Arm Band 	15 gp 	Silver Arm Band
Balaclava 	2 sp 	Goes over face, with eye slit
Belt 	3 sp 	Leather
Boots, High 	1 gp 	Knee high
Boots, Riding 	3 gp 	Hard Leather
Boots, Soft 	1 gp 	Soft Leather
Bracelet, Gold 	25 gp 	
Bracelet, Silver 	10 gp 	
Breeches 	2 gp 	Wool, baggy pants
Cannons 	2 gp 	Wool, tight pants
Cap, hat 	1 sp 	
Cape 	5 sp 	Wool (+2sp for hood)
Chador 	6 sp 	Female full body robe w/ viel
Chemise 	3 gp 	Wool, standard shirt
Cloak, Good Cloth 	8 sp 	Wool (+2sp for hood)
Cloak, Fine Fur 	50 gp 	
Cote 	7 gp 	Linen, fancy & longer chemise
Dagger Sash 	2 gp 	Holds 8 daggers
Fullcloth 	8 gp 	Full wool longjohns
Girdle 	3 gp 	
Gloves 	1 gp 	Soft Leather
Gorgets 	50 gp 	Worn around the neck
Gown, Common 	12 sp 	Wool
Hose 	2 gp 	Wool leggings
Jerkin 	10 gp 	Leather jacket
Kimono, Silk 	16 gp 	Oriental style robe
Knife Sheath 	3 cp 	Hard leather
Loincloth 	6 sp 	Wool
Mittens 	3 sp 	Soft leather, fur lined
Pin 	6 gp 	
Plain Brooch 	10 gp 	
Robe, Common 	9 sp 	
Robe, Embroidered 	20 gp 	
Sandals 	5 cp 	Leather straps
Sash 	2 sp 	
Scarf 	2 sp 	Wool neck wrap
Shoes 	1 gp 	
Silk Jacket 	80 gp 	
Stocking 	2 gp 	Cotton
Surcoat 	6 sp 	
Sword Scabbard, Hanger, Baldric 	4 gp 	
Tabard 	6 sp 	Cloth draping
Toga, Coarse 	8 cp 	Linen, light body wrap
Tunic 	8 sp 	Linen shirt
Turban 	1 sp 	Head wrap
Vest 	6 sp 	Cotton
Wrist Sheath 	3 sp 	Holds 1 dagger to arm/leg


