HOUSEHOLD PROVISIONING

Item 	Cost
Barrel of pickled fish 	3 gp
Butter (per lb.) 	2 sp
Coarse Sugar (per lb.) 	1 gp
Dry Rations (per week) 	10 gp
Eggs (per 100) 	8 sp
     (per two dozen) 	2 sp
Figs (per lb.) 	3 sp
Firewood (per day) 	1 cp
Herbs (per lb.) 	5 cp
Nuts (per lb.) 	1 gp
Raisins (per lb.) 	2 sp
Rice (per lb.) 	2 sp
Salt (per lb.) 	1 sp
Salted Herring (per 100) 	1 gp
Spice (per lb.) 	-
     Exotic (e.g., saffron, clove) 	15 gp
     Rare (e.g., pepper, ginger) 	2 gp
     Uncommon (cinnamon) 	1 gp
Tun of Cider (250 gallons) 	8 gp
Tun of Good Wine (250 gallons) 	20 gp


