MISCELLANEOUS EQUIPMENT

A B C D E F G H I J K L M N O P Q R S T U V W X Y Z

Item 	Cost 	Weight 	Notes
Armor Care Kit 	7 gp 	2 	Required for plate armor
Backpack (3'x2'x1') 	2 gP 	2 	Holds 50 lbs.
Bandages 	1 gP 	1 	2" thick 50 yard roll
Barrel, Small 	2 gP 	30 	
Basket 	- 	- 	
     Large (2'x2'x2') 	3 sp 	1 	Holds 20 lbs.
     Small (1'x1'x1') 	5 cP 	* 	Holds 10 lbs.
Bedroll 	20 GP 	8 	Waterproofed & Padded
Bell 	1 gP 	* 	Made of copper
Belt Pouch 	- 	- 	
     Large (6"x8"x2") 	1 gP 	1 	Holds 8 lbs.
     Small (4"x6"x2") 	7 sp 	.5 	Holds 5 lbs.
Block & Tackle 	5 gp 	5 	
Bodysuit, Silk 	25 gp 	12 	+5% to MS and HS
Bolt Case 	1 gp 	1 	
Book, Blank 	45 gp 	3 	25 pgs. ((+40gp +21lbs)/25 pgs.)
Book, Log 	10 gp 	1 	4 1/2" * 6 1/4"
Brush & Comb 	1 sp 	* 	Made from hardwood (silver 2gp)
Bucket 	5 sp 	3 	
Buttpack 	1 gp 	1 	Holds 25 lbs. (2x1x1)
Candle 	1 cp 	* 	Lights 5', burns 1"/10min.
Canvas (per Sq. Yd.) 	4 sp 	1 	
Carabiniers 	10 gp 	1 	Closable C clips for rope
Chain (per ft.) 	- 	- 	
     Heavy 	4 gp 	3 	
     Light 	3 gp 	1 	
Chalk 	1 cp 	* 	6 Sticks (color 1 sp)
Chest 	- 	- 	
     Large (3'x2'x1') 	2 gp 	25 	Holds 100 lbs.
     Small (2'x1'x1') 	1 gp 	10 	Holds 40 lbs.
Cloth (per 10 sq. yds.) 	- 	- 	
     Common 	7 gp 	10 	
     Fine 	50 gp 	10 	
     Rich 	100 gp 	10 	
Crampons 	4 gp 	2 	
Crowbar 	6 sp 	4 	Can do 1d5 dmg
Field Glass 	25 gp 	1 	Doubles the range & detail level
Firestick 	3 sp 	** 	Stricking rough surface lights
Fishhook 	1 sp 	** 	
Fishing Net (10'x10') 	4 gp 	5 	
Fishing Tackle 	10 gp 	2 	Comes with everything but bait
Flint & Steel 	5 sp 	* 	Starts fire in 1d6 minutes
Glass Bottle 	10 gp 	* 	
Grappling Hook 	8 sp 	4 	
Halter 	5 cp 	* 	
Hammock 	5 gp 	1 	Woven from hemp rope
Hammer 	5 gp 	4 	Can do 1d4 points of damage
Hinge-removing Set 	35 gp 	25 	Requires dex check +1 (1 turn)
Holy Item, Blessed 	25 gp 	2 	Symbol, water, etc.
Holy Item, Lesser 	4 gp 	2 	Made of silver, not blessed
Horseshoes & Shoeing 	1 gp 	10 	
Hourglass 	25 gp 	1 	
Iron Pot 	5 sp 	2 	
Ladder (10') 	5 cp 	20 	
Lantern 	- 	- 	
