TACK & HARNESS

Item 	Cost 	Weight
Barding 	  	 
     Chain 	500 gp 	70
     Full Plate 	2,000 gp 	85
     Full Scale 	1,000 gp 	75
     Half Brigandine 	500 gp 	45
     Half Padded 	100 gp 	25
     Half Scale 	500 gp 	50
     Leather or Padded 	150 gp 	60
Bit & Bridle 	15 sp 	3
Cart Harness 	2 gp 	10
Halter 	5 cp 	*
Horseshoes & Shoeing 	1 gp 	10
Saddle 		
     Pack 	5 gp 	15
     Riding 	10 gp 	35
Saddle Bags 		
     Large 	4 gp 	8
     Small 	3 gp 	5
Saddle Blanket 	3 sp 	4
Yoke, Horse 	5 gp 	15
Yoke, Ox 	3 gp 	20


