THIEF EQUIPMENT

A B C D E F G H I J K L M N O P Q R S T U V W X Y Z

Item 	Legality 	Cost 	Weight
Acid, Metal-eating, 1 vial** 	L 	50 gp 	
Aniseed, vial 	L 	2 sp 	*
Arm Sling 	L 	3 cp 	
Arrow, wood biter 	L 	8 sp 	*
Arrow, stone biter 	L 	1 gp 	*
Arrow, stone biter, adamanite 	L 	7 gp 	*
Arrow, minor grapple 	L/S 	6 gp 	 
Arrow, major grapple 	L/S 	10 gp 	1
Biased Dice, Bone, box of 4 	I 	5 gp 	
Biased Dice, Ivory 	I 	20 gp 	
Blade Boots 	I 	15 gp 	3 C
Blinding Powder 	Varies 	Varies 	*
Caltrops (10) 	L/S 	3 gp 	1
Catstink, vial** 	S/I 	40 gp 	
Charcoal, Bundle 	L 	2 cp 	
Clawed Gloves** 	I 	20 gp 	1 C
Clawed Overshoes 	I 	15 gp 	1 C
Climbing Dagger 	L 	5 gp 	1
Climbing Spikes, iron (10) 	L 	5 sp 	4
Crowbar 	L 	6 sp 	4
Darksuit 	S 	30 gp 	5
Death Knife** 	S/I 	12 gp 	1
Dog Pepper, packet 	S 	1 sp 	*
False Scabbard** 	L/S 	12 gp 	1-2
Folding Bow 	L/S 	45 gp 	2
Footpad's Boots 	I 	8 gp 	3 C
Funnel, small 	L 	3 cp 	
Glass-cutter (handled) 	L/I 	120 gp 	1
Grappling Iron 	L 	3 gp 	2
Hacksaw (equivalent) 	L 	3 gp 	1
Hacksaw Blade 	L 	6 sp 	*
Hand Lamp (with silver mirror) 	L/S 	10 gp 	1
Hand-Warming Lamp 	L 	2 sp 	
Hollow Boots 	I 	15 gp 	3 C
Housebreaker's Harness** 	I 	25 gp 	2
Keymaking Set 	I 	60 gp 	6
Leather Straps (pair) 	L 	3 sp 	1
Limewood (as bark strips, 10) 	L 	3 cp 	*
Listening Cone (brass) 	L 	2 gp 	
(Lock) Chisels, set of 3 	L 	2 gp 	1
Marbles, bag (30) 	L 	2 cp 	
Marked Cards, Deck** 	I 	5 gp 	
Metal File 	L 	5 sp 	
Mini-Blade 	L 	5 cp 	*
Pin Ring (iron) 	S/I 	2 gp 	*
Pin Ring (silver) 	S/I 	10 gp 	*
Razor Ring (iron) 	S/I 	2 gp 	*
Razor Ring (silver) 	S/I 	10 gp 	*
Sharkskin (per sq. ft.) 	L/S 	12 gp 	1
Silenced Armor** 	S 	750 gp 	50
Skeleton Key 	I 	Varies 	
Sword Stick** 	L/S 	25 gp 	4
Thieve's Picks 	I 	30 gp 	1
Water Shoes, pair 	S/I 	5 gp 	1
Wax, Block 	L 	3 cp 	
Weaponblack (vial) 	S 	2 gp 	
Wire Cutters 	L/S 	1 gp 	
Woodland suit 	L/S 	35 gp 	5
Wrist Sheath 	S 	3 sp 	

C = Clothing. Adds nothing to encumbrance when worn normally.
L = Legal
S = Shady
I = Illegal
** Indicates hard-to-find item.
* Item weights little individually. About ten of these items weigh one pound.


